,source,target
785,lote,gestante
786,lote,fisiologia
787,lote,gordo
788,lote,ingrediente
789,lote,energético
790,digestão,recomendação
791,digestão,secreção
792,digestão,trator
793,digestão,graxo
794,digestão,verminose
795,digestão,estaçãar
796,digestão,abomaso
797,digestão,enfermidade
798,digestão,aminoácido
799,digestão,cloreto
800,farinha,funcionar
801,farinha,substância
802,farinha,bezerreiro
803,farinha,vento
804,farinha,fator
805,farinha,úmido
806,farinha,larva
807,farinha,tuberculose
808,farinha,boca
809,farinha,geada
810,monta,heterozigoto
811,monta,resistente
812,monta,fenotípico
813,monta,pesar
814,monta,homeopatia
815,monta,tomada
816,monta,animais
817,monta,ossaturo
818,monta,aproveitamento
819,monta,transgênico
820,inseminador,magra
821,inseminador,subnutrição
822,inseminador,desmamar
823,inseminador,perder
824,inseminador,tostar
825,inseminador,uterino
826,inseminador,glândular
827,inseminador,feto
828,inseminador,parir
829,inseminador,magro
830,morfológico,aptidão
831,morfológico,zebuíno
832,morfológico,genético
833,morfológico,puro
834,morfológico,cruza
835,morfológico,acasalamento
836,morfológico,progênie
837,morfológico,cruzar
838,morfológico,filho
839,morfológico,guzerá
840,caixa,perene
841,caixa,principal
842,caixa,parte
843,caixa,larva
844,caixa,banho
845,caixa,acesso
846,caixa,certo
847,caixa,fator
848,caixa,reação
849,caixa,cítrico
850,ordenhador,medicamento
851,ordenhador,quarto
852,ordenhador,mão
853,ordenhador,desinfecção
854,ordenhador,cisto
855,ordenhador,infecção
856,ordenhador,intramamária
857,ordenhador,lavar
858,ordenhador,treinamento
859,ordenhador,cuidado
860,regra,ovo
861,regra,adubo
862,regra,tecer
863,regra,ginecológico
864,regra,fungo
865,regra,carrapaticida
866,regra,cama
867,regra,sintoma
868,regra,caixa
869,regra,perene
870,junto,ordenha
871,junto,desaleitar
872,junto,pescoço
873,junto,taxa
874,junto,teto
875,junto,infertilidade
876,junto,limpo
877,junto,balde
878,junto,desaleitamento
879,junto,obra
880,brusco,lisa
881,brusco,infectar
882,brusco,muscular
883,brusco,colhedeira
884,brusco,desconforto
885,brusco,agalactiae
886,brusco,ráquis
887,brusco,canavial
888,brusco,pulgão
889,brusco,fibroso
890,panicum,superpastejo
891,panicum,praga
892,panicum,cigarra
893,panicum,reflexo
894,panicum,vegetativo
895,panicum,terreno
896,panicum,vegetal
897,panicum,inseto
898,panicum,forragear
899,panicum,sugador
900,anestro,estresse
901,anestro,uterino
902,anestro,reciclagem
903,anestro,cetose
904,anestro,cobrir
905,anestro,líquida
906,anestro,gargalo
907,anestro,parir
908,anestro,magra
909,anestro,perder
910,aminoácido,rendimento
911,aminoácido,rinotraqueítar
912,aminoácido,instalação
913,aminoácido,bezerreiro
914,aminoácido,metionina
915,aminoácido,enzima
916,aminoácido,músculo
917,aminoácido,geada
918,aminoácido,iodar
919,aminoácido,estábulo
920,espermático,vagina
921,espermático,textura
922,espermático,manual
923,espermático,excreção
924,espermático,enxertar
925,espermático,cru
926,espermático,medo
927,espermático,teteira
928,espermático,vaginal
929,espermático,frasco
930,mocho,chifre
931,mocho,confiança
932,mocho,gene
933,mocho,descendente
934,mocho,fenótipo
935,mocho,testar
936,mocho,objetivo
937,mocho,reprodutor
938,mocho,teta
939,mocho,heterozigoto
940,doador,obtenção
941,doador,sexo
942,doador,embrião
943,doador,cesariana
944,doador,ectoparasita
945,doador,técnico
946,doador,sexado
947,doador,calor
948,doador,clonagem
949,doador,fluxo
950,organismo,glândula
951,organismo,humano
952,organismo,gêmeo
953,organismo,acetonemia
954,organismo,lugar
955,organismo,distúrbio
956,organismo,casco
957,organismo,verme
958,organismo,fígado
959,organismo,amônio
960,leguminoso,tropical
961,leguminoso,gramínea
962,leguminoso,leguminosa
963,leguminoso,sulco
964,leguminoso,invasor
965,leguminoso,avear
966,leguminoso,estação
967,leguminoso,minutiflora
968,leguminoso,plantio
969,leguminoso,perfilhamento
970,coloração,picada
971,coloração,mililitro
972,coloração,barato
973,coloração,circulação
974,coloração,armazenagem
975,coloração,tanchagem
976,coloração,aeração
977,coloração,célula
978,coloração,bulbo
979,coloração,bater
980,químico,osso
981,químico,intoxicação
982,químico,bicheira
983,químico,ciclo
984,químico,adubo
985,químico,capineiro
986,químico,infestação
987,químico,queimada
988,químico,isolamento
989,químico,tóxico
990,adubo,naturalizar
991,adubo,gear
992,adubo,regra
993,adubo,hospedeiro
994,adubo,rizoma
995,adubo,ovo
996,adubo,queimada
997,adubo,mosca
998,adubo,coler
