,Unnamed: 0,term1,term2,value
566,1678,decumbens, brizanthar,6
567,1688,componentes, sistema,6
568,1690,rebanho, bezerro,6
569,1697,mutica, brachiaria,6
570,1698,fatores, bom,6
571,1699,fatores, espécie,6
572,1700,fatores, principal,6
573,1701,fatores, solo,6
574,1706,alta, grande,6
575,1707,alta, raça,6
576,1708,alta, sistema,6
577,1733,desinfetantes, teto,6
578,1735,parte, bezerro,6
579,1736,parte, genético,6
580,1737,instalações, bezerro,6
581,1738,instalações, grande,6
582,1739,zebuínas, guzerá,6
583,1740,zebuínas, mestiço,6
584,1741,magra, gordo,6
586,1750,animais, acasalamento,6
587,1751,animais, capim,6
588,1752,animais, componente,6
589,1753,animais, cuidado,6
590,1755,animais, doente,6
591,1756,animais, fêmea,6
592,1757,animais, físico,6
593,1758,animais, fósforo,6
594,1761,animais, morte,6
595,1762,animais, nutriente,6
596,1763,animais, parte,6
597,1764,animais, térmico,6
598,1768,tratamento, quarto,6
599,1790,desmame, precoce,6
600,1794,crioscópico, vaca,6
601,1802,sede, adubar,6
602,1803,sede, auxiliar,6
603,1804,sede, balanço,6
604,1805,sede, bezerreiro,6
605,1806,sede, bula,6
606,1807,sede, cama,6
607,1808,sede, certo,6
608,1809,sede, combate,6
609,1810,sede, compactação,6
610,1811,sede, contaminação,6
611,1812,sede, corpo,6
612,1813,sede, cortar,6
613,1814,sede, decumbem,6
614,1815,sede, descendente,6
615,1816,sede, digerir,6
616,1817,sede, esperar,6
617,1818,sede, estéril,6
618,1819,sede, exigência,6
619,1820,sede, fermentação,6
620,1821,sede, forrageiro,6
621,1822,sede, frasco,6
622,1823,sede, fêmeo,6
623,1824,sede, gel,6
624,1825,sede, germinação,6
625,1826,sede, glândula,6
626,1827,sede, imunológico,6
627,1828,sede, ingrediente,6
628,1829,sede, inseto,6
629,1830,sede, intoxicação,6
630,1831,sede, lactose,6
631,1832,sede, lento,6
632,1833,sede, madeira,6
633,1834,sede, magro,6
634,1835,sede, metabólico,6
635,1836,sede, microbiológico,6
636,1837,sede, orientar,6
637,1838,sede, panicum,6
638,1839,sede, parâmetro,6
639,1840,sede, precoce,6
640,1841,sede, samambaia,6
641,1842,sede, subtropical,6
642,1843,sede, terapia,6
643,1844,sede, tolerante,6
644,1845,sede, vegetal,6
645,1846,sede, vegetativo,6
646,1847,sede, verme,6
647,1848,sede, zebuíno,6
648,1849,sede, ácer,6
650,1860,máximo, artificial,6
651,1861,máximo, cultura,6
652,1862,máximo, dieta,6
653,1863,máximo, fêmea,6
654,1864,máximo, heterose,6
655,1865,máximo, instalação,6
656,1866,máximo, leiteiro,6
657,1867,máximo, perda,6
658,1868,máximo, taxa,6
659,1869,presença, gene,6
660,1889,bezerra, fase,6
661,1890,bezerra, grande,6
662,1891,bezerra, mãe,6
663,1892,bezerra, novilho,6
664,1893,bezerra, parto,6
665,1894,bezerra, proteína,6
666,1895,bezerra, pé,6
667,1896,bezerra, teto,6
668,1898,verão, animal,5
670,1905,mamária, animal,5
671,1906,mamária, parto,5
672,1907,mamária, sistema,5
673,1908,minerais, base,5
674,1909,minerais, cobrir,5
675,1910,minerais, cocho,5
676,1911,minerais, nutriente,5
677,1912,minerais, parto,5
678,1917,crioscopia, bom,5
679,1918,térmica, sistema,5
680,1934,ordenha, raça,5
681,1939,pele, bom,5
682,1940,pele, vaca,5
683,1941,pele, água,5
684,1943,homeopático, medicamento,5
685,1944,tomada, cuidado,5
687,1946,bernes, mosca,5
