,0,1,2,3,4
vacavolumoso,vaca,volumoso,40.01556393832652,69,40
vacaconcentrar,vaca,concentrar,1.1095633802797191,78,54
vacabasar,vaca,basar,1.0,12,4
vacaseco,vaca,seco,6.308639526422125,113,76
vacagordo,vaca,gordo,1.005859375,47,24
vacarisco,vaca,risco,3.3125,20,12
vacapasto,vaca,pasto,11.710937635332812,60,44
vacapiquete,vaca,piquete,10.253878653049469,100,32
vacamaternidade,vaca,maternidade,1.03125,34,14
vacalimpo,vaca,limpo,2.562504291534424,38,30
vacainstalação,vaca,instalação,2.6875,20,12
vacaprincipal,vaca,principal,7.453119277954102,36,28
vacaperder,vaca,perder,10.952977952547371,64,46
vacabom,vaca,bom,9.801563560977229,188,124
vacacorporal,vaca,corporal,6.1572256986255525,107,58
vacamagro,vaca,magro,1.0,50,34
vacaterço,vaca,terço,8.99997329711914,40,32
vacasuplementar,vaca,suplementar,20.752685546875,40,32
vacabalança,vaca,balança,2.0,24,16
gestantelactação,gestante,lactação,4.0,6,4
gestanteseca,gestante,seca,2.0,2,2
gestanteprever,gestante,prever,3.0,2,2
gestanteparto,gestante,parto,2.125,8,6
gestanteglândular,gestante,glândular,5.0,2,2
gestantemamário,gestante,mamário,6.0,2,2
gestantesobrevivência,gestante,sobrevivência,8.0,2,2
gestantenutricional,gestante,nutricional,10.0,2,2
gestantemineral,gestante,mineral,13.8125,6,6
gestantevitamina,gestante,vitamina,12.0,2,2
gestanteteor,gestante,teor,13.0,2,2
gestanteproteína,gestante,proteína,6.5,6,6
gestantedieta,gestante,dieta,13.125,6,6
gestantevolumoso,gestante,volumoso,10.375,7,6
gestanteconcentrar,gestante,concentrar,5.75,6,6
gestantebasar,gestante,basar,19.0,2,2
gestanteseco,gestante,seco,20.0,3,2
gestantegordo,gestante,gordo,22.0,3,2
gestanterisco,gestante,risco,23.0,2,2
gestantepasto,gestante,pasto,11.0,4,4
gestantepiquete,gestante,piquete,27.0,2,2
gestantematernidade,gestante,maternidade,28.0,2,2
gestantelimpo,gestante,limpo,15.0,4,4
gestanteinstalação,gestante,instalação,31.0,2,2
gestanteprincipal,gestante,principal,32.0,2,2
gestanteperder,gestante,perder,37.0,2,2
gestantebom,gestante,bom,19.21875,12,8
gestantecorporal,gestante,corporal,40.0,3,2
gestantemagro,gestante,magro,42.0,2,2
gestanteterço,gestante,terço,43.0,2,2
gestantesuplementar,gestante,suplementar,46.0,2,2
gestantebalança,gestante,balança,48.0,2,2
lactaçãoseca,lactação,seca,4.4130859375,16,12
lactaçãoprever,lactação,prever,2.9375,6,6
lactaçãoparto,lactação,parto,4.148008109070361,60,32
lactaçãoglândular,lactação,glândular,3.15625,12,8
lactaçãomamário,lactação,mamário,12.514717102050781,24,20
lactaçãosobrevivência,lactação,sobrevivência,7.0,2,2
lactaçãonutricional,lactação,nutricional,16.12518310546875,16,16
lactaçãomineral,lactação,mineral,3.287353515625,18,14
lactaçãovitamina,lactação,vitamina,9.58203125,10,10
lactaçãoteor,lactação,teor,8.3232421875,14,12
lactaçãoproteína,lactação,proteína,12.559906005859375,18,18
lactaçãodieta,lactação,dieta,5.766081854701042,64,30
lactaçãovolumoso,lactação,volumoso,4.173980712890625,35,18
lactaçãoconcentrar,lactação,concentrar,21.70849609375,24,14
lactaçãobasar,lactação,basar,18.0,2,2
lactaçãoseco,lactação,seco,6.226528011590091,67,48
lactaçãogordo,lactação,gordo,21.0,3,2
lactaçãorisco,lactação,risco,6.99853515625,14,14
lactaçãopasto,lactação,pasto,13.43359375,10,10
lactaçãopiquete,lactação,piquete,6.125,6,6
lactaçãomaternidade,lactação,maternidade,7.5,8,4
lactaçãolimpo,lactação,limpo,5.75,6,6
lactaçãoinstalação,lactação,instalação,9.0,4,4
lactaçãoprincipal,lactação,principal,2.059814453125,16,16
lactaçãoperder,lactação,perder,9.3515625,16,10
lactaçãobom,lactação,bom,19.113966735079885,44,32
lactaçãocorporal,lactação,corporal,4.812730550765991,39,28
lactaçãomagro,lactação,magro,9.125,18,10
lactaçãoterço,lactação,terço,1.16015625,10,10
lactaçãosuplementar,lactação,suplementar,23.390625,8,8
lactaçãobalança,lactação,balança,47.0,2,2
secaprever,seca,prever,1.0,2,2
secaparto,seca,parto,8.0,8,4
secaglândular,seca,glândular,3.0,2,2
secamamário,seca,mamário,4.0,2,2
secasobrevivência,seca,sobrevivência,6.0,2,2
secanutricional,seca,nutricional,8.0,2,2
secamineral,seca,mineral,9.0,2,2
secavitamina,seca,vitamina,10.0,2,2
secateor,seca,teor,9.640625,10,8
secaproteína,seca,proteína,4.171875,8,8
secadieta,seca,dieta,14.5,6,4
secavolumoso,seca,volumoso,5.7763671875,13,12
secaconcentrar,seca,concentrar,8.4375,6,6
secabasar,seca,basar,17.0,2,2
secaseco,seca,seco,29.15625,11,8
secagordo,seca,gordo,20.0,3,2
secarisco,seca,risco,21.0,2,2
secapasto,seca,pasto,6.84375,8,8
secapiquete,seca,piquete,12.25,4,4
secamaternidade,seca,maternidade,26.0,2,2
secalimpo,seca,limpo,28.0,2,2
secainstalação,seca,instalação,35.75,4,4
secaprincipal,seca,principal,30.0,2,2
secaperder,seca,perder,35.0,2,2
secabom,seca,bom,4.754966735839844,28,20
secacorporal,seca,corporal,35.0,5,4
secamagro,seca,magro,40.0,2,2
secaterço,seca,terço,41.0,2,2
secasuplementar,seca,suplementar,6.125,6,6
secabalança,seca,balança,46.0,2,2
preverparto,prever,parto,1.0,4,2
preverglândular,prever,glândular,2.0,2,2
prevermamário,prever,mamário,3.0,2,2
preversobrevivência,prever,sobrevivência,5.0,2,2
prevernutricional,prever,nutricional,7.0,2,2
prevermineral,prever,mineral,8.0,2,2
prevervitamina,prever,vitamina,9.0,2,2
preverteor,prever,teor,10.0,2,2
preverproteína,prever,proteína,11.0,2,2
preverdieta,prever,dieta,16.5,6,4
prevervolumoso,prever,volumoso,13.0,3,2
preverconcentrar,prever,concentrar,14.0,2,2
preverbasar,prever,basar,16.0,2,2
preverseco,prever,seco,10.25,5,4
prevergordo,prever,gordo,19.0,3,2
preverrisco,prever,risco,20.0,2,2
preverpasto,prever,pasto,23.0,2,2
preverpiquete,prever,piquete,12.75,4,4
prevermaternidade,prever,maternidade,13.75,8,4
preverlimpo,prever,limpo,27.0,2,2
preverinstalação,prever,instalação,28.0,2,2
preverprincipal,prever,principal,29.0,2,2
preverperder,prever,perder,34.0,2,2
preverbom,prever,bom,36.0,2,2
prevercorporal,prever,corporal,37.0,3,2
prevermagro,prever,magro,39.0,2,2
preverterço,prever,terço,40.0,2,2
preversuplementar,prever,suplementar,43.0,2,2
preverbalança,prever,balança,45.0,2,2
partoglândular,parto,glândular,1.0,12,6
partomamário,parto,mamário,4.25,14,8
partosobrevivência,parto,sobrevivência,4.75,6,4
partonutricional,parto,nutricional,2.50030517578125,18,16
partomineral,parto,mineral,4.421875,10,8
partovitamina,parto,vitamina,5.1875,8,6
partoteor,parto,teor,9.0,4,2
partoproteína,parto,proteína,3.15625,10,8
partodieta,parto,dieta,2.015624664723873,46,30
partovolumoso,parto,volumoso,7.70703125,15,12
partoconcentrar,parto,concentrar,3.56640625,16,12
partobasar,parto,basar,5.0,4,2
partoseco,parto,seco,18.481576919555664,25,22
partogordo,parto,gordo,2.0,9,6
partorisco,parto,risco,19.75,10,8
partopasto,parto,pasto,2.0,6,4
partopiquete,parto,piquete,5.8125,10,8
partomaternidade,parto,maternidade,4.9375,18,8
partolimpo,parto,limpo,8.8125,10,8
partoinstalação,parto,instalação,18.875,10,8
partoprincipal,parto,principal,5.6875,10,8
partoperder,parto,perder,4.0,8,6
partobom,parto,bom,2.65966802502885,70,48
partocorporal,parto,corporal,1.240234375,33,16
partomagro,parto,magro,4.5,10,8
partoterço,parto,terço,17.5,12,10
partosuplementar,parto,suplementar,4.5625,12,10
partobalança,parto,balança,15.0,8,6
glândularmamário,glândular,mamário,1.0,20,18
glândularsobrevivência,glândular,sobrevivência,3.0,2,2
glândularnutricional,glândular,nutricional,5.0,2,2
glândularmineral,glândular,mineral,6.0,2,2
glândularvitamina,glândular,vitamina,7.0,2,2
glândularteor,glândular,teor,8.9375,10,8
glândularproteína,glândular,proteína,17.4375,6,6
glândulardieta,glândular,dieta,10.0,2,2
glândularvolumoso,glândular,volumoso,11.0,3,2
glândularconcentrar,glândular,concentrar,12.0,2,2
glândularbasar,glândular,basar,14.0,2,2
glândularseco,glândular,seco,15.5625,7,6
glândulargordo,glândular,gordo,17.0,3,2
glândularrisco,glândular,risco,10.5,4,4
glândularpasto,glândular,pasto,17.25,4,4
glândularpiquete,glândular,piquete,22.0,2,2
glândularmaternidade,glândular,maternidade,23.0,2,2
glândularlimpo,glândular,limpo,25.0,2,2
glândularinstalação,glândular,instalação,26.0,2,2
glândularprincipal,glândular,principal,13.5,4,4
glândularperder,glândular,perder,32.0,2,2
glândularbom,glândular,bom,26.6875,6,6
glândularcorporal,glândular,corporal,35.0,3,2
glândularmagro,glândular,magro,37.0,2,2
glândularterço,glândular,terço,38.0,2,2
glândularsuplementar,glândular,suplementar,41.0,2,2
glândularbalança,glândular,balança,43.0,2,2
mamáriosobrevivência,mamário,sobrevivência,2.0,2,2
mamárionutricional,mamário,nutricional,4.0,2,2
mamáriomineral,mamário,mineral,5.0,2,2
mamáriovitamina,mamário,vitamina,6.0,2,2
mamárioteor,mamário,teor,3.25,6,4
mamárioproteína,mamário,proteína,8.0,2,2
mamáriodieta,mamário,dieta,9.0,2,2
mamáriovolumoso,mamário,volumoso,10.0,3,2
mamárioconcentrar,mamário,concentrar,9.5,4,4
mamáriobasar,mamário,basar,13.0,2,2
mamárioseco,mamário,seco,14.984375,15,10
mamáriogordo,mamário,gordo,16.0,3,2
mamáriorisco,mamário,risco,18.125,6,6
mamáriopasto,mamário,pasto,16.25,4,4
mamáriopiquete,mamário,piquete,21.0,2,2
mamáriomaternidade,mamário,maternidade,22.0,2,2
mamáriolimpo,mamário,limpo,24.0,2,2
mamárioinstalação,mamário,instalação,25.0,2,2
mamárioprincipal,mamário,principal,7.015625,8,8
mamárioperder,mamário,perder,1.28125,10,10
mamáriobom,mamário,bom,24.328125,8,8
mamáriocorporal,mamário,corporal,34.0,3,2
mamáriomagro,mamário,magro,36.0,2,2
mamárioterço,mamário,terço,37.0,2,2
mamáriosuplementar,mamário,suplementar,16.0,4,4
mamáriobalança,mamário,balança,42.0,2,2
sobrevivêncianutricional,sobrevivência,nutricional,2.0,2,2
sobrevivênciamineral,sobrevivência,mineral,3.0,2,2
sobrevivênciavitamina,sobrevivência,vitamina,4.0,2,2
sobrevivênciateor,sobrevivência,teor,5.0,2,2
sobrevivênciaproteína,sobrevivência,proteína,6.0,2,2
sobrevivênciadieta,sobrevivência,dieta,7.0,2,2
sobrevivênciavolumoso,sobrevivência,volumoso,8.0,3,2
sobrevivênciaconcentrar,sobrevivência,concentrar,9.0,2,2
sobrevivênciabasar,sobrevivência,basar,11.0,2,2
sobrevivênciaseco,sobrevivência,seco,12.0,3,2
sobrevivênciagordo,sobrevivência,gordo,14.0,3,2
sobrevivênciarisco,sobrevivência,risco,15.0,2,2
sobrevivênciapasto,sobrevivência,pasto,18.0,2,2
sobrevivênciapiquete,sobrevivência,piquete,19.0,2,2
sobrevivênciamaternidade,sobrevivência,maternidade,20.0,2,2
sobrevivêncialimpo,sobrevivência,limpo,22.0,2,2
sobrevivênciainstalação,sobrevivência,instalação,23.0,2,2
sobrevivênciaprincipal,sobrevivência,principal,24.0,2,2
sobrevivênciaperder,sobrevivência,perder,29.0,2,2
